word,freq
aback,272920
abase,29383
abate,470646
abbey,4224864
abbot,992552
abhor,169167
abide,3722809
abled,122479
abode,1246541
abort,1569892
about,1226734006
above,141894620
abuse,36269685
abyss,1152408
acorn,1825652
acrid,104638
actor,16282891
acute,11128841
adage,419158
adapt,4675567
adept,1595303
admin,37835381
admit,8780656
adobe,27538755
adopt,11272339
adore,1176240
adorn,464591
adult,97583096
affix,444121
afire,113772
afoot,364417
afoul,159727
after,372948094
again,150781416
agape,414471
agate,900451
agent,57103658
agile,1808955
aging,12014007
aglow,110328
agony,1543205
agora,797585
agree,47500911
ahead,28375319
aider,140957
aisle,1917319
alarm,17059844
album,77914316
alert,32472727
algae,2068644
alibi,448710
alien,10490554
align,5478643
alike,6220739
alive,16064787
allay,203474
alley,4541475
allot,396325
allow,67052567
alloy,5468839
aloft,497342
alone,39326417
along,83444756
aloof,294291
aloud,3743858
alpha,27832836
altar,2627835
alter,7831337
amass,181774
amaze,791672
amber,11065507
amble,141586
amend,7806844
amiss,271389
amity,540428
among,83431590
ample,3187842
amply,321480
amuse,554922
angel,25294123
anger,7991036
angle,17016075
angry,9267505
angst,1232364
anime,31334688
ankle,4146793
annex,8465905
annoy,1497815
annul,146490
anode,768949
antic,147936
anvil,936808
aorta,641057
apart,16507181
aphid,295138
aping,42534
apnea,950562
apple,50551171
apply,76341478
apron,1617357
aptly,598371
arbor,5057261
ardor,155258
arena,13966572
argue,8353605
arise,8337093
armor,6001844
aroma,2018777
arose,2609029
array,25150016
arrow,11563142
arson,989351
artsy,333481
ascot,888745
ashen,184747
aside,11768649
askew,473664
assay,3855224
asset,18178753
atoll,908471
atone,152901
attic,3347389
audio,127014703
audit,20786243
augur,120764
aunty,239524
avail,3902711
avert,767435
avian,2877167
avoid,36508203
await,1745587
awake,3230337
award,59652161
aware,25700328
awash,274221
awful,5217370
awoke,688520
axial,1685087
axiom,1495473
axion,276049
azure,1042257
bacon,5385205
badge,6145138
badly,5290145
bagel,792721
baggy,419677
baker,14862470
baler,153800
balmy,210906
banal,260129
banjo,1940675
barge,1319916
baron,3504549
basal,1821739
basic,84840226
basil,2757419
basin,10544774
basis,59901425
baste,95369
batch,7835050
bathe,494252
baton,4229776
batty,416010
bawdy,160667
bayou,1397958
beach,105642682
beady,87974
beard,3166516
beast,14787561
beech,2327119
beefy,366863
befit,31021
began,38269468
begat,191296
beget,119815
begin,45434902
begun,8636352
being,242783091
belch,115135
belie,103562
belle,5820002
belly,7346354
below,145701629
bench,8992211
beret,330199
berry,7551906
berth,1056010
beset,373969
betel,126006
bevel,571985
bezel,1692595
bible,45080741
bicep,162754
biddy,137910
bigot,258267
bilge,412304
billy,13515249
binge,850412
bingo,9539002
biome,174268
birch,2936180
birth,36286070
bison,2002028
bitty,409188
black,244690155
blade,11527988
blame,8170544
bland,1606490
blank,18150537
blare,49365
blast,9387171
blaze,2448412
bleak,1088632
bleat,144793
bleed,1989071
bleep,397961
blend,9680982
bless,5477461
blimp,263458
blind,16485480
blink,5257629
bliss,3708978
blitz,2476009
bloat,315923
block,49694725
bloke,766763
blond,5155053
blood,61348302
bloom,5456938
blown,4229918
bluer,80668
bluff,3906671
blunt,4129800
blurb,776249
blurt,86781
blush,1722003
board,212361059
boast,1239080
bobby,8964342
boney,409772
bongo,767108
bonus,27819488
booby,379438
boost,13675076
booth,7723310
booty,14218854
booze,1178694
boozy,71828
borax,172497
borne,3379421
bosom,712863
bossy,163576
botch,92410
bough,520067
boule,116726
bound,22303643
bowel,2666510
boxer,3592432
brace,2182960
braid,981945
brain,33612784
brake,9321885
brand,82807581
brash,461753
brass,14298573
brave,5221356
bravo,2772503
brawl,567755
brawn,191036
bread,13575360
break,51242970
breed,7716901
briar,630788
bribe,646492
brick,8094369
bride,8650665
brief,32599674
brine,816003
bring,57608074
brink,1484879
briny,66915
brisk,774000
broad,21370126
broil,479526
broke,10460811
brood,1042305
brook,6044943
broom,1312361
broth,1297117
brown,64112042
brunt,489270
brush,10018684
brute,1216912
buddy,23611087
budge,418361
buggy,1955438
bugle,583867
build,77203075
built,61502894
bulge,881613
bulky,1181562
bully,1532418
bunch,10355431
bunny,5730050
burly,250632
burnt,3221640
burst,5147573
bused,62772
bushy,445882
butch,1213820
butte,2505600
buxom,237464
buyer,42024703
bylaw,1070798
cabal,531622
cabby,61542
cabin,8052267
cable,70082598
cacao,331714
cache,17250923
cacti,478989
caddy,1094377
cadet,1717624
cagey,66504
cairn,688283
camel,11005001
cameo,1517437
canal,8278196
candy,13772033
canny,209480
canoe,3790795
canon,41144763
caper,485193
caput,105633
carat,3398374
cargo,9748668
carol,11109404
carry,33056477
carve,952422
caste,1166877
catch,20400979
cater,2092828
catty,107679
caulk,245944
cause,65904680
cavil,27985
cease,4081957
cedar,9484993
cello,2358848
chafe,118832
chaff,294863
chain,35928367
chair,40764005
chalk,2498505
champ,2867858
chant,1374428
chaos,8690268
chard,459373
charm,10554644
chart,35027490
chase,10971945
chasm,517410
cheap,97049762
cheat,9903572
check,244491090
cheek,2681029
cheer,3648929
chess,8293823
chest,13516414
chick,7771502
chide,66368
chief,45699591
child,119747393
chili,4553187
chill,4489643
chime,1115076
china,124472054
chirp,240510
chock,508651
choir,5156247
choke,1448146
chord,3123447
chore,565322
chose,9409845
chuck,9574825
chump,270215
chunk,2371231
churn,694218
chute,834005
cider,1743446
cigar,3993843
cinch,427247
circa,3475462
civic,10283668
civil,49495349
clack,246726
claim,40085342
clamp,3639509
clang,187651
clank,265523
clash,3531117
clasp,1354393
class,191087771
clean,45381752
clear,88447610
cleat,371970
cleft,787981
clerk,11923960
click,536746424
cliff,5898886
climb,5697476
cling,946281
clink,164177
cloak,1450056
clock,26624872
clone,9284578
close,107853068
cloth,9764137
cloud,11337220
clout,639706
clove,698870
clown,3081501
cluck,134048
clued,125391
clump,345355
clung,365864
coach,24514961
coast,47716394
cobra,4412823
cocoa,3557169
colon,5494297
color,112965658
comet,3116034
comfy,1245404
comic,16695850
comma,2711522
conch,379190
condo,6444848
conic,216832
copse,90567
coral,8818272
corer,96129
corny,378659
couch,4581367
cough,3451640
could,302311431
count,40345803
coupe,4874541
court,127719981
coven,295821
cover,94501729
covet,219812
covey,720367
cower,95006
coyly,52174
crack,16633701
craft,16528294
cramp,402123
crane,4888961
crank,2185208
crash,15302627
crass,408565
crate,2336818
crave,1199466
crawl,2859784
craze,962477
crazy,23032837
creak,124122
cream,25898758
credo,446499
creed,3398609
creek,38159464
creep,1811981
creme,1724183
crepe,768351
crept,588735
cress,279364
crest,5477034
crick,362258
cried,4352198
crier,374599
crime,40361756
crimp,640746
crisp,3880385
croak,169181
crock,918524
crone,229759
crony,137861
crook,1067661
cross,74230978
croup,149483
crowd,11409218
crown,16651038
crude,5119129
cruel,4180956
crumb,673404
crump,328553
crush,3576348
crust,2267452
crypt,1904607
cubic,5774261
cumin,612220
curio,506765
curly,2231026
curry,4029540
curse,3982181
curve,11071177
curvy,360365
cutie,3305791
cyber,9289150
cycle,29585286
cynic,525906
daddy,9211193
daily,105837757
dairy,8781961
daisy,5124326
dally,142954
dance,51147967
dandy,1098188
datum,2226219
daunt,38855
dealt,6174968
death,83216831
debar,52384
debit,4633794
debug,9581095
debut,7220643
decal,2311933
decay,4956622
decor,12098868
decoy,514956
decry,203238
defer,1207925
deign,94806
deity,1262430
delay,21911190
delta,28051872
delve,640909
demon,4602331
demur,45556
denim,4737554
dense,5225392
depot,9688338
depth,31879926
derby,6319608
deter,1887521
detox,2297343
deuce,970434
devil,12869511
diary,14922472
dicey,161963
digit,6991045
dilly,161256
dimly,342692
diner,2261961
dingo,420174
dingy,255349
diode,1897828
dirge,384505
dirty,16101662
disco,7067687
ditch,2373753
ditto,1386002
ditty,281979
diver,2452406
dizzy,1424316
dodge,14768509
dodgy,571643
dogma,1016614
doing,80821946
dolly,2266400
donor,7096675
donut,836168
dopey,169040
doubt,20311261
dough,3032657
dowdy,161797
dowel,285802
downy,288639
dowry,275011
dozen,9776227
draft,35033621
drain,6411642
drake,4373046
drama,20939845
drank,1777243
drape,484861
drawl,112289
drawn,14827380
dread,1649823
dream,33518573
dress,27318959
dried,6331606
drier,679179
drift,3889505
drill,8248787
drink,29254937
drive,107799371
droit,750988
droll,196087
drone,725818
drool,539170
droop,156194
dross,154345
drove,5545848
drown,1156106
druid,1160196
drunk,10519219
dryer,5592001
dryly,96792
duchy,339003
dully,66436
dummy,3230609
dumpy,88067
dunce,112570
dusky,390563
dusty,2339959
dutch,19000979
duvet,1567578
dwarf,3072068
dwell,2014411
dwelt,512083
dying,9123557
eager,4175668
eagle,16785232
early,100013194
earth,61059905
easel,791426
eaten,3412832
eater,1702828
ebony,14831025
eclat,123738
edict,382916
edify,69341
eerie,772484
egret,394773
eight,32567724
eject,935010
eking,26695
elate,16161
elbow,3484326
elder,7299470
elect,5748899
elegy,295636
elfin,168528
elide,23795
elite,12673836
elope,74984
elude,215496
email,443949646
embed,1217930
ember,488846
emcee,294621
